businessZones,companyFullName,companyId,companyShortName,companySize,createTime,district,education,financeStage,industryField,positionName,salary
['大学城'],广州市讯码通讯科技有限公司,170745,讯码科技,150-500人,2018-11-21 11:53:01,番禺区,本科,A轮,"移动互联网,生活服务",Golang开发工程师,9k-15k
"['五山', '石牌', '天河北']",广州亚美信息科技有限公司,37398,亚美,150-500人,2018-11-07 09:32:25,天河区,本科,不需要融资,移动互联网,大数据开发工程师,15k-25k
,上海文盛资产管理股份有限公司,113765,文盛资产,150-500人,2018-11-22 06:48:45,天河区,本科,C轮,"数据服务,移动互联网",高级前端,15k-24k
,广州奇异果科技有限公司,56211,奇异果科技,50-150人,2018-11-21 09:55:12,天河区,本科,不需要融资,"移动互联网,游戏",BI/ETL开发工程师,10k-15k
,江苏太湖云计算信息技术股份有限公司,41883,太湖云计算,150-500人,2018-11-22 14:14:50,天河区,大专,上市公司,电子商务,大数据开发工程师,15k-30k
['员村'],广州栗树信息科技有限公司,166065,栗子科技,50-150人,2018-11-22 16:34:41,天河区,本科,天使轮,"移动互联网,广告营销",大数据开发工程师,10k-20k
"['天河城', '石牌', '体育中心']",广州盛成妈妈网络科技股份有限公司,3346,妈妈网,500-2000人,2018-11-22 18:12:50,天河区,本科,上市公司,"移动互联网,社交网络",PHP开发工程师,8k-15k
"['天园', '天河公园', '棠下']",广州市擎天柱网络科技有限公司,9619,擎天柱,150-500人,2018-11-22 08:53:08,天河区,本科,不需要融资,游戏,cocos游戏开发工程师,8k-16k
,上海文盛资产管理股份有限公司,113765,文盛资产,150-500人,2018-11-22 06:48:48,天河区,本科,C轮,"数据服务,移动互联网",前端,15k-24k
,广州亚美信息科技有限公司,37398,亚美,150-500人,2018-11-22 16:37:07,天河区,大专,不需要融资,移动互联网,PHP高级开发工程师,11k-17k
,广东东田教育集团有限公司,36141,广东东田教育集团有限公司,150-500人,2018-11-22 10:13:50,天河区,本科,不需要融资,"移动互联网,教育",中高级C++工程师,12k-20k
,武汉佰钧成技术有限责任公司,16831,武汉佰钧成技术有限公司,2000人以上,2018-11-22 09:58:17,天河区,本科,不需要融资,移动互联网,C++研发工程师,18k-25k
"['员村', '东圃']",广州市两棵树网络科技有限公司,335104,洋葱omall,150-500人,2018-11-22 17:56:32,天河区,大专,C轮,"移动互联网,电子商务",中级JAVA开发工程师,10k-15k
,广州博冠信息科技有限公司,22790,网易游戏,2000人以上,2018-11-22 11:09:32,天河区,本科,上市公司,游戏,DNS 高级开发工程师,15k-20k
"['兴华', '沙河', '沙东']",广州机智云物联网科技有限公司,6921,机智云,150-500人,2018-11-22 19:13:47,天河区,大专,B轮,"移动互联网,硬件",前端开发工程师,8k-12k
,广州市驴迹科技有限责任公司,135484,驴迹导游,150-500人,2018-11-22 09:30:48,天河区,大专,B轮,"移动互联网,旅游",前端工程师,13k-18k
"['体育中心', '天河城', '沙河']",广州市汇聚支付电子科技有限公司,113687,汇聚支付,150-500人,2018-11-19 10:48:28,天河区,本科,不需要融资,"金融,移动互联网",技术支持工程师,4k-8k
